Marque;Modèle;Boite vitesse;Puissance fiscale;Transmission;Kilométrage;Mise en circulation;Carrosserie;price;cylindre;Énergie
BMW;Série 7;Automatique;15                        cv;Propulsion;186 000                        km;01.2016;Berline;220 000        DT;3000;Diesel
Haval;H2;Manuelle;9                        cv;Propulsion;196 000                        km;04.2017;SUV/4x4;50 000        DT;1500;Essence
Mercedes-Benz;Classe C;Automatique;11                        cv;Propulsion;36 000                        km;12.2018;Berline;185 000        DT;1497.0                                                    ;Hybride essence
Mini;3 portes;Automatique;7                        cv;Traction;141 000                        km;09.2013;Citadine;43 000        DT;1598;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Propulsion;73 000                        km;10.2018;Berline;150 000        DT;1595.0                                                    ;Essence
Land Rover;Range Rover Velar;Automatique;16                        cv;Intégrale;286 000                        km;05.2019;SUV/4x4;200 000        DT;1997;Essence
KIA;Picanto;Manuelle;4                        cv;Traction;120 000                        km;02.2010;Citadine;25 000        DT;1086.0                                                    ;Essence
Nissan;Qashqai;Manuelle;5                        cv;Traction;138 000                        km;02.2019;SUV/4x4;75 000        DT;1499;Diesel
KIA;Rio 5p;Manuelle;5                        cv;Traction;68 000                        km;02.2018;Citadine;43 500        DT;1199;Essence
Volkswagen;Golf 7;Automatique;6                        cv;Traction;200 000                        km;02.2019;Citadine;68 500        DT;1599;Diesel
Fiat;Fiorino;Manuelle;5                        cv;Traction;58 000                        km;10.2022;Monospace;39 500        DT;1299;Diesel
Volkswagen;Passat;Manuelle;6                        cv;Traction;178 000                        km;02.2016;Berline;63 000        DT;1599;Diesel
Peugeot;3008;Manuelle;6                        cv;Traction;158 000                        km;10.2019;SUV/4x4;76 000        DT;1599;Diesel
Peugeot;2008;Automatique;6                        cv;Traction;69 000                        km;02.2020;SUV/4x4;62 000        DT;1499;Diesel
BMW;Série 3;Automatique;10                        cv;Traction;28 000                        km;06.2020;Berline;245 000        DT;1999;Essence
Mercedes-Benz;GLC Coupé;Automatique;12                        cv;Traction;64 000                        km;07.2020;SUV/4x4;260 000        DT;2000;Hybride essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;145 000                        km;06.2015;Compacte;53 000        DT;1200;Essence
Land Rover;Range Rover Velar;Automatique;9                        cv;Traction;40 000                        km;06.2018;SUV/4x4;230 000        DT;1999;Diesel
Mercedes-Benz;GLA;Automatique;8                        cv;Traction;140 000                        km;05.2016;Compacte;105 000        DT;1600;Essence
Chery;Tiggo 7 Pro;Automatique;9                        cv;Traction;34 000                        km;06.2022;SUV/4x4;89 000        DT;1498;Essence
Audi;TT;Automatique;13                        cv;Intégrale;36 000                        km;02.2017;Coupé;120 000        DT;1998;Essence
Audi;A6;Automatique;11                        cv;Traction;269 000                        km;05.2010;Berline;42 500        DT;1900;Essence
Ford;Focus sedan;Manuelle;6                        cv;Traction;198 000                        km;05.2012;Berline;25 000        DT;1598;Essence
KIA;Sportage;Automatique;8                        cv;Traction;65 000                        km;09.2019;SUV/4x4;95 000        DT;1597;Essence
Porsche;Cayenne;Automatique;27                        cv;Traction;234 000                        km;08.2003;SUV/4x4;45 000        DT;4499;Essence
BMW;Série 5;Automatique;10                        cv;Traction;33 000                        km;06.2022;Berline;260 000        DT;1998;Diesel
Citroën;C5;Manuelle;9                        cv;Traction;260 000                        km;02.2011;Berline;26 500        DT;1598;Essence
Land Rover;Range Rover Sport;Automatique;17                        cv;Traction;82 000                        km;06.2019;SUV/4x4;340 000        DT;1998;Essence
Dacia;Dokker Van;Manuelle;6                        cv;Traction;78 000                        km;12.2018;Utilitaire;35 000        DT;1461;Diesel
Mercedes-Benz;ML;Automatique;15                        cv;Traction;266 000                        km;07.2006;SUV/4x4;39 000        DT;2998;Diesel
Nissan;Juke;Manuelle;6                        cv;Traction;105 000                        km;04.2012;SUV/4x4;42 500        DT;1599;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;1 000                        km;12.2023;SUV/4x4;39 900        DT;1998;Essence
Nissan;Navara;Automatique;8                        cv;Traction;357 000                        km;05.2007;Pick up;39 000        DT;2499;Diesel
Peugeot;5008;Automatique;9                        cv;Traction;120 000                        km;05.2019;SUV/4x4;75 000        DT;1595;Essence
Fiat;Fiorino;Manuelle;5                        cv;Traction;115 000                        km;10.2018;Utilitaire;27 900        DT;1289;Diesel
Renault;Megane;Manuelle;7                        cv;Traction;144 000                        km;11.2018;Citadine;48 900        DT;1469;Essence
MG;6;Automatique;9                        cv;Traction;20 000                        km;08.2021;Berline;85 000        DT;1499;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;27 000                        km;04.2022;Citadine;70 000        DT;1242;Essence
Volkswagen;T-roc;Manuelle;6                        cv;Traction;52 000                        km;10.2020;SUV/4x4;89 900        DT;999.0                                                    ;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;191 000                        km;04.2015;Citadine;49 000        DT;1198;Essence
BMW;Série 1;Manuelle;7                        cv;Traction;179 000                        km;12.2008;Citadine;32 900        DT;1597;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;170 000                        km;04.2013;Citadine;52 000        DT;1599;Diesel
KIA;Sportage;Automatique;10                        cv;Traction;126 000                        km;01.2018;SUV/4x4;115 000        DT;1995;Diesel
Haval;H6;Automatique;9                        cv;Traction;106 000                        km;09.2019;SUV/4x4;79 000        DT;1499;Essence
Citroën;DS3;Manuelle;5                        cv;Traction;187 000                        km;12.2013;Citadine;28 500        DT;1199;Essence
KIA;Sportage;Automatique;10                        cv;Traction;308 000                        km;08.2017;SUV/4x4;85 000        DT;1995;Diesel
Renault;Megane;Manuelle;5                        cv;Traction;133 000                        km;09.2017;Citadine;62 000        DT;1461;Diesel
Peugeot;308;Manuelle;6                        cv;Traction;140 000                        km;11.2019;Citadine;42 000        DT;1199;Essence
Volkswagen;Golf 8;Manuelle;6                        cv;Traction;25 000                        km;12.2020;Citadine;99 900        DT;999;Essence
Peugeot;3008;Automatique;7                        cv;Traction;100 000                        km;05.2019;SUV/4x4;79 000        DT;1199;Essence
BAIC YX;Kenbo S2;Manuelle;7                        cv;Traction;93 000                        km;04.2018;SUV/4x4;36 000        DT;1498;Essence
Mercedes-Benz;Classe C;Manuelle;10                        cv;Propulsion;199 000                        km;10.2010;Berline;49 900        DT;2199;Diesel
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;182 000                        km;07.2014;Citadine;55 000        DT;1197;Essence
Dongfeng;AX4;Manuelle;7                        cv;Traction;31 000                        km;11.2021;SUV/4x4;64 000        DT;1499;Essence
Peugeot;5008;Automatique;6                        cv;Traction;138 000                        km;11.2019;SUV/4x4;95 000        DT;1499;Diesel
Seat;Leon;Manuelle;6                        cv;Traction;118 000                        km;10.2017;Citadine;62 000        DT;1197;Essence
Toyota;Hilux Double Cabine;Automatique;8                        cv;Traction;1 000                        km;08.2023;Pick up;210 000        DT;2393;Diesel
BMW;Série 3;Automatique;7                        cv;Traction;152 000                        km;05.2016;Berline;85 000        DT;1499;Essence
Isuzu;D-Max Double Cabine;Manuelle;8                        cv;Traction;119 000                        km;06.2017;Pick up;128 000        DT;2499;Diesel
Volkswagen;Golf 8;Automatique;8                        cv;Traction;28 000                        km;07.2020;Citadine;123 000        DT;1498;Hybride essence
Mercedes-Benz;CLA;Automatique;7                        cv;Traction;59 000                        km;12.2019;Berline;149 500        DT;1299;Essence
Suzuki;Dzire;Manuelle;5                        cv;Traction;114 000                        km;01.2021;Berline;38 500        DT;1197;Essence
Volkswagen;Passat;Manuelle;6                        cv;Traction;268 000                        km;03.2009;Berline;34 000        DT;1896;Diesel
KIA;Rio 5p;Manuelle;5                        cv;Traction;77 000                        km;07.2020;Citadine;55 000        DT;1248;Essence
Audi;A6;Automatique;10                        cv;Traction;213 000                        km;04.2011;Berline;39 000        DT;1999;Essence
Peugeot;508;Manuelle;9                        cv;Traction;187 000                        km;06.2012;Berline;33 900        DT;1598;Essence
Wallyscar;Iris;Manuelle;4                        cv;Traction;39 000                        km;02.2018;SUV/4x4;35 500        DT;1199;Essence
Chery;QQ;Manuelle;4                        cv;Traction;72 000                        km;06.2019;Citadine;23 900        DT;998;Essence
BMW;Série 1;Manuelle;7                        cv;Traction;266 000                        km;12.2008;Citadine;30 900        DT;1598;Essence
Haval;H6;Automatique;9                        cv;Traction;100 000                        km;02.2017;SUV/4x4;65 000        DT;1497;Essence
Volkswagen;Amarok;Automatique;10                        cv;Traction;57 000                        km;12.2022;Pick up;205 000        DT;2967;Diesel
Toyota;Land Cruiser;Manuelle;10                        cv;Traction;334 000                        km;01.1985;SUV/4x4;65 000        DT;2496;Diesel
Seat;Ateca;Automatique;8                        cv;Traction;36 000                        km;05.2021;SUV/4x4;105 000        DT;1395;Essence
Volkswagen;Golf 8;Manuelle;6                        cv;Traction;13 000                        km;09.2020;Citadine;109 000        DT;999;Essence
Haval;H6;Automatique;9                        cv;Traction;45 000                        km;02.2020;SUV/4x4;85 000        DT;1499;Essence
Renault;Symbol;Manuelle;5                        cv;Traction;74 000                        km;01.2021;Berline;39 900        DT;999;Essence
Alfa Romeo;Giulietta;Manuelle;7                        cv;Traction;100 000                        km;01.2018;Citadine;42 000        DT;1368;Essence
Citroën;C4;Manuelle;6                        cv;Traction;126 000                        km;02.2018;Citadine;39 000        DT;1199;Essence
BAIC YX;Kenbo S2;Manuelle;7                        cv;Traction;159 000                        km;05.2018;SUV/4x4;31 500        DT;1498;Essence
Citroën;C3;Manuelle;4                        cv;Traction;98 000                        km;03.2017;Citadine;39 500        DT;1198;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;86 000                        km;08.2021;Citadine;49 900        DT;999;Essence
Mitsubishi;Pajero;Automatique;15                        cv;Traction;61 000                        km;06.2016;SUV/4x4;180 000        DT;3497;Essence
Chery;Tiggo 3X;Automatique;6                        cv;Traction;15 000                        km;06.2022;SUV/4x4;62 000        DT;998;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;69 000                        km;08.2016;Berline;99 000        DT;1599;Essence
Nissan;Juke;Manuelle;6                        cv;Traction;91 000                        km;02.2015;SUV/4x4;47 900        DT;1242;Essence
Land Rover;Range Rover Sport;Automatique;28                        cv;Traction;116 000                        km;12.2020;SUV/4x4;535 000        DT;2996;Hybride essence
Jaguar;XJ;Automatique;16                        cv;Traction;163 000                        km;06.2014;Berline;129 000        DT;1999;Essence
KIA;Sportage;Automatique;7                        cv;Traction;134 000                        km;08.2019;SUV/4x4;99 500        DT;1598;Diesel
Audi;A3 Berline;Automatique;6                        cv;Traction;196 000                        km;12.2015;Berline;65 000        DT;1197;Essence
Audi;A4;Automatique;11                        cv;Traction;241 000                        km;11.2008;Berline;50 000        DT;1984;Essence
Mercedes-Benz;Classe C;Manuelle;9                        cv;Traction;185 000                        km;12.2009;Berline;44 500        DT;1598;Essence
Volkswagen;Golf 6;Manuelle;5                        cv;Traction;206 000                        km;11.2011;Citadine;39 500        DT;1199;Essence
BMW;Série 1;Automatique;7                        cv;Traction;140 000                        km;03.2016;Citadine;68 000        DT;1498;Essence
Skoda;Kamiq;Automatique;6                        cv;Traction;54 000                        km;02.2021;SUV/4x4;79 000        DT;1598;Essence
Volkswagen;Jetta;Manuelle;7                        cv;Traction;144 000                        km;01.2009;Berline;29 900        DT;1598;Essence
Peugeot;508;Automatique;7                        cv;Traction;134 000                        km;08.2012;Berline;32 900        DT;1598;Essence
Mercedes-Benz;CLK;Automatique;10                        cv;Traction;179 000                        km;08.2004;Berline;36 500        DT;1799;Essence
MG;ZS;Automatique;7                        cv;Traction;97 000                        km;06.2020;SUV/4x4;65 000        DT;1498;Essence
Mercedes-Benz;Classe A;Manuelle;6                        cv;Traction;140 000                        km;06.2013;Citadine;53 900        DT;1598;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;33 000                        km;10.2021;Citadine;62 900        DT;1198;Essence
Suzuki;Dzire;Manuelle;5                        cv;Traction;82 000                        km;12.2019;Berline;36 500        DT;1198;Essence
Citroën;C3;Manuelle;4                        cv;Traction;139 000                        km;05.2018;Citadine;35 500        DT;1199;Essence
Volkswagen;Polo;Manuelle;5                        cv;Traction;225 000                        km;04.2012;Citadine;30 900        DT;1199;Essence
Fiat;Ducato;Manuelle;8                        cv;Traction;218 000                        km;03.2011;Autres;32 500        DT;2299;Diesel
Peugeot;3008;Manuelle;7                        cv;Traction;230 000                        km;10.2010;Citadine;35 000        DT;1599;Essence
Volkswagen;Transporter Combi 6.1;Manuelle;7                        cv;Traction;876 000                        km;10.2003;Autres;22 000        DT;1998;Diesel
Suzuki;Baleno;Automatique;5                        cv;Traction;98 000                        km;04.2017;Citadine;45 900        DT;1424;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;13 000                        km;02.2022;Citadine;69 500        DT;1199;Essence
Mercedes-Benz;Classe E;Automatique;11                        cv;Traction;176 000                        km;09.2012;Berline;83 000        DT;1798;Essence
Suzuki;Vitara;Manuelle;6                        cv;Traction;83 000                        km;10.2018;SUV/4x4;64 000        DT;1599;Essence
Nissan;Qashqai;Manuelle;6                        cv;Traction;71 000                        km;03.2018;SUV/4x4;74 000        DT;1199;Essence
Dacia;Dokker Van;Manuelle;6                        cv;Traction;91 000                        km;11.2018;Utilitaire;34 500        DT;1498;Diesel
Volkswagen;Polo;Manuelle;4                        cv;Traction;133 000                        km;11.2018;Citadine;41 900        DT;999;Essence
KIA;Picanto;Automatique;5                        cv;Traction;118 000                        km;06.2020;Citadine;39 500        DT;1199;Essence
Mazda;CX-9;Automatique;15                        cv;Traction;92 000                        km;07.2017;SUV/4x4;89 900        DT;2498;Essence
Citroën;DS3;Manuelle;5                        cv;Traction;123 000                        km;10.2013;Citadine;29 900        DT;1199;Essence
Citroën;Berlingo Utilitaire;Manuelle;5                        cv;Traction;121 000                        km;06.2020;Utilitaire;44 000        DT;1598;Diesel
Volkswagen;Golf 6;Manuelle;5                        cv;Traction;354 000                        km;05.2011;Citadine;34 000        DT;1599;Diesel
Renault;Clio Campus;Manuelle;4                        cv;Traction;189 000                        km;08.2007;Citadine;25 000        DT;1198;Essence
Peugeot;3008;Automatique;9                        cv;Traction;67 000                        km;11.2019;SUV/4x4;95 000        DT;1599;Essence
Ford;Ka;Manuelle;4                        cv;Traction;128 000                        km;10.2014;Citadine;31 000        DT;1198;Essence
BMW;Série 3;Manuelle;10                        cv;Traction;194 000                        km;05.2009;Cabriolet;49 000        DT;1998;Essence
Volvo;S80;Automatique;13                        cv;Traction;171 000                        km;08.2008;Berline;30 000        DT;1998;Essence
Citroën;DS5;Automatique;6                        cv;Traction;205 000                        km;11.2012;Citadine;49 000        DT;1560;Diesel
Skoda;Fabia;Manuelle;4                        cv;Traction;103 000                        km;02.2020;Citadine;37 000        DT;999;Essence
Fiat;Fiorino;Manuelle;5                        cv;Traction;13 000                        km;10.2023;Utilitaire;37 800        DT;1299;Diesel
Nissan;Patrol;Manuelle;9                        cv;Traction;132 000                        km;10.1992;SUV/4x4;23 000        DT;2799;Diesel
Suzuki;Swift;Manuelle;5                        cv;Traction;86 000                        km;11.2021;Citadine;37 500        DT;1199;Essence
Ford;Explorer;Automatique;23                        cv;Traction;75 000                        km;09.2004;SUV/4x4;55 000        DT;3999;Essence
BMW;Série 5;Automatique;12                        cv;Traction;207 000                        km;12.2010;Berline;75 000        DT;2489;Essence
Renault;Clio Campus;Manuelle;4                        cv;Traction;154 000                        km;03.2011;Citadine;24 900        DT;1198;Essence
Chevrolet;Cruze;Manuelle;7                        cv;Traction;104 000                        km;04.2017;Berline;36 000        DT;1598;Essence
Volkswagen;Golf 7;Automatique;6                        cv;Traction;67 000                        km;09.2020;Citadine;77 500        DT;1198;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;169 000                        km;06.2016;Citadine;37 900        DT;999;Essence
KIA;Sorento;Automatique;12                        cv;Traction;232 000                        km;07.2013;SUV/4x4;67 000        DT;2199;Diesel
Peugeot;301;Manuelle;5                        cv;Traction;116 000                        km;12.2018;Berline;28 900        DT;1198;Essence
Mini;Cooper S;Automatique;7                        cv;Traction;83 000                        km;05.2011;Citadine;45 000        DT;1598;Essence
Toyota;Aygo;Manuelle;4                        cv;Traction;87 000                        km;03.2017;Citadine;31 900        DT;999;Essence
Hyundai;Centennial;Automatique;16                        cv;Traction;109 000                        km;10.2007;Berline;65 000        DT;4498;Essence
MG;ZS;Automatique;7                        cv;Traction;93 000                        km;04.2019;SUV/4x4;59 000        DT;1498;Essence
Fiat;Fiorino;Manuelle;5                        cv;Traction;91 000                        km;05.2021;Utilitaire;35 000        DT;1298;Diesel
Nissan;Qashqai;Automatique;6                        cv;Traction;117 000                        km;11.2015;SUV/4x4;57 000        DT;1198;Essence
Honda;CR-V;Automatique;11                        cv;Traction;132 000                        km;02.2019;SUV/4x4;99 000        DT;1498;Essence
Mercedes-Benz;Classe C coupé;Automatique;9                        cv;Traction;244 000                        km;08.2012;Coupé;60 000        DT;1798;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;47 000                        km;12.2021;Citadine;54 900        DT;1198;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;57 000                        km;01.2019;SUV/4x4;31 900        DT;1198;Essence
Mercedes-Benz;CLA;Automatique;7                        cv;Traction;59 000                        km;01.2022;Berline;168 832        DT;1298;Essence
Mercedes-Benz;Classe C coupé;Automatique;9                        cv;Traction;170 000                        km;08.2013;Coupé;74 000        DT;899;Essence
Seat;Arona;Manuelle;6                        cv;Traction;41 000                        km;03.2019;SUV/4x4;67 000        DT;1599;Essence
Haval;H2;Automatique;9                        cv;Traction;67 000                        km;12.2017;SUV/4x4;62 000        DT;1500;Essence
Seat;Ibiza;Manuelle;6                        cv;Traction;53 000                        km;04.2020;Coupé;65 000        DT;1498;Essence
Citroën;C1;Manuelle;4                        cv;Traction;138 000                        km;03.2011;Citadine;23 000        DT;998;Essence
KIA;Sportage;Automatique;8                        cv;Traction;73 000                        km;12.2019;SUV/4x4;87 000        DT;1591;Essence
KIA;Picanto;Manuelle;4                        cv;Traction;0                        km;12.2021;Citadine;45 000        DT;989;Essence
Volkswagen;Passat;Automatique;8                        cv;Traction;144 000                        km;07.2019;Berline;89 000        DT;1395;Essence
Mercedes-Benz;Classe A;Automatique;6                        cv;Traction;131 000                        km;04.2015;Coupé;67 000        DT;1595;Essence
Haval;H6;Automatique;9                        cv;Traction;124 000                        km;04.2021;SUV/4x4;89 000        DT;1497;Essence
KIA;Picanto;Automatique;4                        cv;Traction;89 000                        km;06.2019;Citadine;42 000        DT;1197;Essence
Renault;Megane;Automatique;8                        cv;Traction;59 000                        km;02.2018;Compacte;89 000        DT;1490;Essence
Citroën;Jumpy Fourgon;Manuelle;6                        cv;Traction;173 000                        km;12.2018;Utilitaire;69 000        DT;1597;Diesel
Mercedes-Benz;Classe A;Automatique;7                        cv;Traction;3                        km;07.2022;Coupé;150 000        DT;1332;Essence
Renault;Megane;Manuelle;6                        cv;Traction;83 000                        km;04.2019;Coupé;59 000        DT;1490;Diesel
Jeep;Wrangler;Automatique;20                        cv;Intégrale;90 000                        km;06.2018;SUV/4x4;220 000        DT;3604;Essence
Audi;A4;Automatique;8                        cv;Traction;143 000                        km;05.2016;Berline;78 000        DT;1395;Essence
Ford;Ranger;Automatique;7                        cv;Intégrale;90 000                        km;10.2020;SUV/4x4;139 000        DT;2198;Diesel
Mercedes-Benz;GLC;Automatique;10                        cv;Intégrale;89 000                        km;07.2018;SUV/4x4;245 000        DT;2143;Diesel
KIA;Cee'd;Manuelle;7                        cv;Traction;161 000                        km;09.2011;Citadine;43 000        DT;1582;Diesel
Renault;Kadjar;Manuelle;7                        cv;Traction;114 000                        km;06.2018;SUV/4x4;63 000        DT;1197;Essence
Audi;Q3;Automatique;8                        cv;Traction;120 000                        km;12.2016;SUV/4x4;84 000        DT;1493;Essence
KIA;Sportage;Automatique;11                        cv;Traction;76 000                        km;09.2020;SUV/4x4;100 000        DT;1995;Essence
Jaguar;XE;Automatique;9                        cv;Traction;136 000                        km;04.2017;Berline;130 000        DT;1995;Diesel
Land Rover;Range Rover Sport;Automatique;24                        cv;Intégrale;79 000                        km;04.2016;SUV/4x4;249 000        DT;2995;Essence
Land Rover;Range Rover Sport;Automatique;24                        cv;Intégrale;90 000                        km;09.2016;SUV/4x4;259 000        DT;2995;Essence
Mercedes-Benz;Classe A;Automatique;7                        cv;Traction;67 000                        km;08.2019;Coupé;96 000        DT;1332;Essence
Toyota;Prado;Automatique;11                        cv;Intégrale;200 000                        km;10.2015;SUV/4x4;185 000        DT;2999;Diesel
Audi;A5 Sportback;Automatique;8                        cv;Traction;142 000                        km;09.2018;Berline;127 000        DT;1984;Essence
Jeep;Renegade;Automatique;8                        cv;Traction;122 000                        km;06.2018;SUV/4x4;68 000        DT;1368;Essence
Ssangyong;Tivoli;Automatique;8                        cv;Traction;24 000                        km;07.2020;SUV/4x4;75 000        DT;1497;Essence
Peugeot;2008;Automatique;6                        cv;Traction;46 000                        km;05.2021;SUV/4x4;82 000        DT;1199;Essence
KIA;Niro Hybride;Automatique;5                        cv;Traction;103 000                        km;06.2021;SUV/4x4;95 000        DT;1580;Hybride essence
BMW;Série 7;Automatique;31                        cv;Propulsion;146 000                        km;07.2010;Coupé;89 000        DT;4395;Essence
Renault;Koleos;Manuelle;8                        cv;Traction;96 000                        km;12.2014;SUV/4x4;59 000        DT;1999;Diesel
Ssangyong;Tivoli;Automatique;8                        cv;Traction;160 000                        km;07.2017;SUV/4x4;47 000        DT;1497;Essence
Suzuki;Jimny;Manuelle;6                        cv;Intégrale;59 300                        km;07.2021;SUV/4x4;100 000        DT;1462;Essence
Toyota;Prado;Manuelle;11                        cv;Intégrale;263 000                        km;04.2007;SUV/4x4;115 000        DT;2982;Diesel
Citroën;C5;Automatique;9                        cv;Traction;132 000                        km;07.2013;Berline;36 000        DT;1598;Essence
BMW;Série 5;Automatique;10                        cv;Propulsion;200 000                        km;06.2011;Berline;78 000        DT;1995;Diesel
Mercedes-Benz;CLA;Automatique;8                        cv;Traction;150 000                        km;06.2014;Berline;77 000        DT;1332;Essence
Ford;Focus;Manuelle;7                        cv;Traction;130 000                        km;12.2017;Berline;34 000        DT;1496;Essence
Ssangyong;Actyon Sports;Automatique;7                        cv;Intégrale;231 000                        km;12.2011;Pick up;30 000        DT;1998;Diesel
Land Rover;Discovery Sport;Automatique;15                        cv;Traction;34 000                        km;09.2016;SUV/4x4;188 000        DT;1999;Essence
Volkswagen;Touareg;Automatique;12                        cv;Traction;189 000                        km;07.2016;SUV/4x4;100 000        DT;2967;Diesel
Volkswagen;Scirocco;Automatique;9                        cv;Traction;165 000                        km;05.2010;Coupé;35 000        DT;1390;Essence
Fiat;Doblo;Manuelle;5                        cv;Intégrale;99 000                        km;12.2019;Utilitaire;29 000        DT;899;Diesel
Renault;Megane Sedan;Manuelle;7                        cv;Traction;37 000                        km;07.2019;Berline;70 000        DT;1300;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;100 000                        km;08.2016;Berline;115 000        DT;1800;Essence
BMW;Série 1;Automatique;7                        cv;Propulsion;18 000                        km;03.2016;Citadine;95 000        DT;1493;Essence
Skoda;Octavia;Automatique;8                        cv;Traction;128 000                        km;05.2017;Berline;48 000        DT;1395;Essence
Toyota;Hilux Double Cabine;Manuelle;8                        cv;Intégrale;22 000                        km;08.2021;SUV/4x4;120 000        DT;2400;Diesel
Peugeot;107;Manuelle;4                        cv;Traction;149 000                        km;02.2012;Compacte;26 500        DT;899;Essence
Porsche;Panamera;Automatique;30                        cv;Intégrale;126 000                        km;12.2009;Berline;230 000        DT;899;Essence
BMW;Série 4 Gran Coupé;Automatique;7                        cv;Propulsion;57 000                        km;08.2020;Berline;143 000        DT;1499;Essence
Mercedes-Benz;GLC Coupé;Automatique;10                        cv;Intégrale;32 000                        km;09.2021;SUV/4x4;248 000        DT;1999;Hybride rechargeable essence
BMW;X1;Automatique;8                        cv;Traction;87 000                        km;07.2020;SUV/4x4;134 000        DT;1499;Essence
BMW;X1;Automatique;8                        cv;Traction;85 000                        km;05.2018;SUV/4x4;93 000        DT;1399;Essence
BMW;X4;Automatique;10                        cv;Traction;73 000                        km;03.2020;SUV/4x4;268 000        DT;1999;Essence
Jaguar;F-Pace;Automatique;16                        cv;Intégrale;27 000                        km;03.2021;SUV/4x4;269 000        DT;1999;Essence
Toyota;Hilux Double Cabine;Manuelle;8                        cv;Intégrale;140 000                        km;07.2019;Pick up;159 000        DT;2400;Diesel
Mercedes-Benz;Classe C;Automatique;10                        cv;Propulsion;46 000                        km;01.2020;Berline;154 500        DT;1564;Hybride essence
Peugeot;3008;Automatique;7                        cv;Traction;54 000                        km;01.2021;SUV/4x4;89 500        DT;1199;Essence
Porsche;Panamera;Automatique;30                        cv;Propulsion;96 000                        km;02.2011;Berline;169 000        DT;4800;Essence
BMW;Série 3;Automatique;7                        cv;Propulsion;86 000                        km;08.2018;Berline;117 000        DT;1489;Essence
Toyota;Hilux Double Cabine;Manuelle;8                        cv;Intégrale;140 000                        km;07.2019;Pick up;159 000        DT;2400;Essence
Audi;A4;Manuelle;8                        cv;Traction;125 000                        km;07.2014;Berline;46 500        DT;1400;Essence
Mercedes-Benz;CLA;Automatique;7                        cv;Propulsion;80 000                        km;08.2019;Berline;158 000        DT;1300;Essence
Hyundai;Tucson;Automatique;7                        cv;Traction;114 000                        km;12.2019;SUV/4x4;99 500        DT;1600;Diesel
Mercedes-Benz;Classe E;Automatique;9                        cv;Intégrale;69 000                        km;05.2021;Berline;215 000        DT;1989;Diesel
Porsche;Cayenne Coupé;Automatique;25                        cv;Intégrale;37 000                        km;04.2020;SUV/4x4;380 000        DT;2999;Essence
Mercedes-Benz;Classe E;Automatique;9                        cv;Intégrale;69 000                        km;05.2021;Berline;215 000        DT;1989;Diesel
Mercedes-Benz;Classe C;Automatique;7                        cv;Propulsion;175 000                        km;07.2011;Berline;58 000        DT;2100;Diesel
KIA;Rio 5p;Manuelle;5                        cv;Traction;37 000                        km;03.2021;Citadine;62 500        DT;1200;Essence
Mercedes-Benz;CLA;Automatique;7                        cv;Traction;44 000                        km;01.2023;Berline;173 500        DT;1398;Essence
Mercedes-Benz;Classe A;Automatique;6                        cv;Traction;120 000                        km;07.2013;Compacte;68 500        DT;1600;Essence
Peugeot;3008;Automatique;7                        cv;Intégrale;3 000                        km;01.2024;SUV/4x4;137 500        DT;1999;Essence
Mercedes-Benz;Classe E;Automatique;10                        cv;Propulsion;112 000                        km;07.2016;Berline;137 000        DT;2000;Essence
Mercedes-Benz;Classe E coupé;Automatique;10                        cv;Propulsion;80 000                        km;07.2018;Coupé;174 000        DT;2000;Essence
Fiat;500;Manuelle;6                        cv;Traction;16 000                        km;01.2023;Citadine;59 500        DT;1000;Hybride essence
Mercedes-Benz;CLA;Automatique;6                        cv;Traction;30 000                        km;01.2022;Berline;158 000        DT;1300;Essence
Nissan;Qashqai;Manuelle;8                        cv;Traction;85 000                        km;05.2019;SUV/4x4;79 000        DT;1333;Essence
KIA;Sportage;Automatique;11                        cv;Intégrale;79 000                        km;03.2020;SUV/4x4;107 000        DT;1600;Essence
Volkswagen;Golf 8;Manuelle;5                        cv;Traction;41 500                        km;01.2021;Berline;86 500        DT;1000;Essence
Volkswagen;T-roc;Manuelle;6                        cv;Traction;69 500                        km;01.2020;SUV/4x4;84 500        DT;1000;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;47 500                        km;01.2020;Berline;72 000        DT;1000;Essence
Opel;Corsa 3p;Manuelle;5                        cv;Traction;88 000                        km;08.2014;Citadine;22 500        DT;1229;Essence
MG;GS;Automatique;9                        cv;Traction;80 000                        km;06.2017;SUV/4x4;55 000        DT;899;Essence
