prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
75000DT;199000km;01.2018;Essence;Automatique;8cv;Propulsion;Berline;07.03.2024;Ariana;Audi;A4;Série4Avant(8W5);"""""";"""""";"""""";"""""";"""""";""""""
73500DT;10000km;08.2023;Essence;Manuelle;5cv;Traction;SUV/4x4;07.03.2024;Tunis;Citroën;C3Aircross;Phase2;"""""";"""""";"""""";"""""";"""""";""""""
61000DT;18000km;05.2023;Essence;Automatique;6cv;Traction;SUV/4x4;07.03.2024;Ariana;Chery;Tiggo3X;"""""";GrisShark;Noir;Similicuir;5;5;1500cm³
62000DT;83000km;11.2018;Essence;Manuelle;6cv;Traction;SUV/4x4;07.03.2024;Ariana;Suzuki;Vitara;(LY);"""""";"""""";"""""";"""""";"""""";""""""
28500DT;212200km;05.2017;Diesel;Manuelle;6cv;Traction;Berline;07.03.2024;Nabeul;Dacia;DokkerVan;Van;"""""";"""""";"""""";"""""";"""""";""""""
32000DT;220000km;01.2010;Diesel;Manuelle;6cv;Traction;Citadine;07.03.2024;Sfax;Mercedes-Benz;ClasseB;(W245)Phase2;"""""";"""""";"""""";"""""";"""""";""""""
70800DT;36500km;10.2016;Essence;Manuelle;7cv;Traction;SUV/4x4;07.03.2024;Tunis;Renault;Kadjar;"""""";Noir;Noir;Cuirpartiel;5;5;1197cm³
15500DT;234000km;08.2004;Essence;Manuelle;5cv;Intégrale;Berline;07.03.2024;BenArous;Fiat;Siena;FL;"""""";"""""";"""""";"""""";"""""";""""""
67000DT;84000km;12.2018;Essence;Automatique;7cv;Traction;SUV/4x4;07.03.2024;Sfax;Ford;Ecosport;Phase3;"""""";"""""";"""""";"""""";"""""";""""""
23000DT;80000km;07.2019;Essence;Manuelle;6cv;Traction;Utilitaire;07.03.2024;Tunis;DFSK;K01H;"""""";Blanc;Gris;Tissu;2;2;1310cm³
