marque;modele;vertion;prix;nombre de place;nombre de porte;boite vitesse;CARROSSERIE;CYLINDRÉE;ENERGIE;TRANSMISSION;PUISSANCE FISCALE
MG;3;1.5LConfortPlus;62950DT;5;5;Manuelle;Citadine;1498CM³;Essence;Traction;6CV
Mercedes-Benz;GLECoupé;300d4MaticAMG;488000DT;5;5;Automatique;SUV;1993CM³;Diesel|Hybrideléger;Intégrale;12CV
Mercedes-Benz;GLE;300d4MaticAMG;468000DT;5;5;Automatique;SUV;1993CM³;Diesel|Hybrideléger;Intégrale;12CV
Mercedes-Benz;GLCPlug-inHybride;350e4MaticAMG;397000DT;5;5;Automatique;SUV;1999CM³;Essence|Hybriderechargeable;Intégrale;9CV
Mercedes-Benz;GLCCoupé;2004MaticAMG;335000DT;5;5;Automatique;SUV;1999CM³;Essence|Hybrideléger;Intégrale;12CV
Mercedes-Benz;CLECoupé;200AMG+;292000DT;4;2;Automatique;Coupé;1999CM³;Essence|Hybrideléger;Propulsion;12CV
Mercedes-Benz;GLC;2004MaticAMG;315000DT;5;5;Automatique;SUV;1999CM³;Essence|Hybrideléger;Intégrale;12CV
Mercedes-Benz;GLC;2004MaticAvantgarde;280000DT;5;5;Automatique;SUV;1999CM³;Essence|Hybrideléger;Intégrale;12CV
Mercedes-Benz;ClasseE;200AMG;319000DT;5;4;Automatique;Berline;1999CM³;Essence|Hybrideléger;Propulsion;12CV
Mercedes-Benz;ClasseE;200Exclusive;289000DT;5;4;Automatique;Berline;1999CM³;Essence|Hybrideléger;Propulsion;12CV
Mercedes-Benz;ClasseE;200Avantgarde;284000DT;5;4;Automatique;Berline;1999CM³;Essence|Hybrideléger;Propulsion;12CV
Mercedes-Benz;ClasseE;200Business;255000DT;5;4;Automatique;Berline;1999CM³;Essence|Hybrideléger;Propulsion;12CV
Mercedes-Benz;GLB;200AMG;218000DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseCPlug-inHybride;350eAMG+;345000DT;5;4;Automatique;Berline;1999CM³;Essence|Hybriderechargeable;Propulsion;12CV
Mercedes-Benz;ClasseC;180AMG+;270000DT;5;4;Automatique;Berline;1496CM³;Essence|Hybrideléger;Propulsion;9CV
Mercedes-Benz;ClasseC;180AMG;253000DT;5;4;Automatique;Berline;1496CM³;Essence|Hybrideléger;Propulsion;9CV
Mercedes-Benz;ClasseC;180Premium;249000DT;5;4;Automatique;Berline;1496CM³;Essence|Hybrideléger;Propulsion;9CV
Mercedes-Benz;ClasseC;180Avantgarde;215000DT;5;4;Automatique;Berline;1496CM³;Essence|Hybrideléger;Propulsion;9CV
Mercedes-Benz;GLA;200AMG;216000DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;9CV
Mercedes-Benz;GLA;200Progressive;198000DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;9CV
Mercedes-Benz;CLA;200AMG;213000DT;5;4;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;CLA;200Progressive;201000DT;5;4;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseABerline;200AMG;190000DT;5;5;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseABerline;200Premium;177000DT;5;5;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseABerline;200Progressive;165000DT;5;5;Automatique;Berline;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseA;200AMG;189000DT;5;5;Automatique;Compacte;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseA;200Premium;175000DT;5;5;Automatique;Compacte;1332CM³;Essence;Traction;9CV
Mercedes-Benz;ClasseA;200Progressive;164000DT;5;5;Automatique;Compacte;1332CM³;Essence;Traction;9CV
Mahindra;Pick-upDC;2.2lDiesel4x2;77945DT;5;4;Manuelle;Pickup;2179CM³;Diesel;Propulsion;7CV
Mahindra;Pick-upSC;2.2lDiesel4x2PlateauSimple;60916DT;2;2;Manuelle;Pickup;2179CM³;Diesel;Propulsion;7CV
Mahindra;XUV300;1.2LW8.0;69065DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;6CV
Mahindra;XUV300;1.2LW8;63065DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;6CV
Mahindra;XUV300;1.2LW6;58065DT;5;5;Manuelle;SUV;1197CM³;Essence;Traction;6CV
Mahindra;KUV100;1.2lK8;43960DT;5;5;Manuelle;SUV;1198CM³;Traction;Traction;5CV
LandRover;RangeRover;4.4V8P530HSE;1054000DT;5;5;Automatique;SUV;4395CM³;Essence;Intégrale;43CV
LandRover;RangeRover;3.0LP460PHEVSE;723000DT;5;5;Automatique;SUV;2997CM³;Essence|Hybriderechargeable;Intégrale;16CV
LandRover;RangeRover;3.0LP400MHEVSE;702500DT;5;5;Automatique;SUV;2997CM³;Essence|Hybrideléger;Intégrale;24CV
